ID,DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbBicy,NbBicyChild,NbComp,NbTV,Internet,NewsPaperSubs,NbCellPhones,NbSmartPhone,HouseType,OwnHouse,NbRoomsHouse,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,CalculatedIncome,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,CostCarCHF,Envir01,Envir02,Envir03,Envir04,Envir05,Envir06,Mobil01,Mobil02,Mobil03,Mobil04,Mobil05,Mobil06,Mobil07,Mobil08,Mobil09,Mobil10,Mobil11,Mobil12,Mobil13,Mobil14,Mobil15,Mobil16,Mobil17,Mobil18,Mobil19,Mobil20,Mobil21,Mobil22,Mobil23,Mobil24,Mobil25,Mobil26,Mobil27,ResidCh01,ResidCh02,ResidCh03,ResidCh04,ResidCh05,ResidCh06,ResidCh07,LifSty01,LifSty02,LifSty03,LifSty04,LifSty05,LifSty06,LifSty07,LifSty08,LifSty09,LifSty10,LifSty11,LifSty12,LifSty13,LifSty14,TripPurpose,TypeCommune,UrbRur,LangCode,ClassifCodeLine,frequency,ResidChild,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,CoderegionCAR,age,Weight,normalized_weight,livesInUrbanArea,owningHouse,ScaledIncome,age_65_more,age_30_less,age_category,household_size,income_category,moreThanOneCar,moreThanOneBike,individualHouse,male,single,haveChildren,haveGA,highEducation,artisans,employees,occupation_status,childCenter,childSuburb,TimePT_scaled,TimePT_hour,TimeCar_scaled,TimeCar_hour,MarginalCostPT_scaled,CostCarCHF_scaled,distance_km_scaled,PurpHWH,PurpOther,number_of_trips,urbanization
10350017.0,2.0,4.0,85.0,23.0,10.0,12.4,3.17,32.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1983.0,2.0,2.0,3.0,3.0,7000.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,4.54,3.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,1.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,1.0,30.0,1.0,52.0,3.0,255.0,1.0,27.0,0.000378621,0.893778821192461,0.0,0.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.425,1.4166666666666667,0.16,0.5333333333333333,0.0,0.454,6.0,1.0,0.0,2.0,2.0
10350025.0,11.0,2.0,82.0,33.0,5.0,3.0,0.45,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,-1.0,3.0,0.64,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,7.0,1.0,1.0,4.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,1.0,4.5,0.0,44.0,-1.0,20.0,1.0,-1.0,0.000367986,0.8686736691713585,0.0,0.0,-0.001,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.41000000000000003,1.3666666666666667,0.03,0.1,0.30000000000000004,0.064,0.9,0.0,1.0,1.0,2.0
10350075.0,1.0,3.0,107.0,21.0,31.0,24.0,2.36,23.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,29.0,2.0,2.0,1947.0,2.0,2.0,2.0,4.0,3250.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,24.0,3.38,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,7.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,2.0,2.0,1.0,1.0,25.0,1.0,55.0,-1.0,30.0,1.0,63.0,0.000367986,0.8686736691713585,0.0,1.0,3.25,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.535,1.7833333333333332,0.115,0.3833333333333333,2.4000000000000004,0.338,5.0,1.0,0.0,1.0,2.0
10350085.0,1.0,5.0,190.0,116.0,18.0,10.8,1.16,14.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,22.0,4.0,1.0,1953.0,2.0,3.0,1.0,6.0,7000.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,10.8,1.66,1.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,6.0,6.0,6.0,5.0,1.0,5.0,3.0,1.0,6.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,1.0,2.0,3.0,1.0,12.5,1.0,56.0,-1.0,20.0,1.0,57.0,0.000409116,0.9657658085816023,0.0,1.0,7.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9500000000000001,3.1666666666666665,0.07,0.23333333333333334,1.08,0.166,2.5,1.0,0.0,2.0,2.0
10350086.0,1.0,4.0,116.0,38.0,29.0,9.6,1.89,20.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,4.0,22.0,4.0,2.0,1952.0,2.0,3.0,4.0,6.0,7000.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,9.6,2.71,2.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,19.0,1.0,49.0,-1.0,30.0,1.0,58.0,0.000367986,0.8686736691713585,0.0,1.0,7.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.58,1.9333333333333333,0.1,0.3333333333333333,0.96,0.271,3.8000000000000003,1.0,0.0,2.0,2.0
10350100.0,4.0,1.0,20.0,1.0,5.0,3.0,1.14,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,38.0,4.0,1.0,1930.0,1.0,1.0,9.0,3.0,7000.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.2,1.63,2.0,4.0,4.0,4.0,2.0,2.0,6.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,6.0,4.0,1.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,6.0,6.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,13.0,1.0,14.0,4.0,10.0,1.0,80.0,0.000202325,0.47761164858199806,0.0,1.0,7.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.1,0.3333333333333333,0.045,0.15,0.22000000000000003,0.163,2.6,0.0,1.0,1.0,2.0
10350120.0,4.0,4.0,116.0,26.0,34.0,24.8,4.87,33.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,25.0,5.0,2.0,1946.0,2.0,2.0,9.0,2.0,9000.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,12.4,6.98,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,-1.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,7.0,1.0,1.0,4.0,1.0,5.0,2.0,3.0,2.0,2.0,3.0,1.0,45.0,1.0,56.0,5.0,30.0,1.0,64.0,9.82e-05,0.23181249915112914,0.0,1.0,9.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.58,1.9333333333333333,0.165,0.55,1.2400000000000002,0.6980000000000001,9.0,0.0,1.0,2.0,2.0
10350125.0,4.0,1.0,35.0,15.0,4.0,4.8,0.69,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.8,0.99,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,7.0,1.0,16.0,4.0,15.0,1.0,68.0,0.000288998,0.6822133261678006,0.0,1.0,7.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.17500000000000002,0.5833333333333334,0.045,0.15,0.48,0.099,1.4000000000000001,0.0,1.0,1.0,2.0
10350125.0,11.0,0.0,11.0,10.0,0.0,2.2,0.13,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.5,36.0,4.0,2.0,1942.0,1.0,1.0,9.0,8.0,7000.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.2,0.19,4.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,4.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,68.0,0.000288998,0.6822133261678006,0.0,1.0,7.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.055,0.18333333333333332,0.005,0.016666666666666666,0.22000000000000003,0.019000000000000003,0.2,0.0,1.0,1.0,2.0
10350133.0,1.0,3.0,92.0,35.0,8.0,11.0,2.71,27.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,29.0,2.0,1.0,1951.0,2.0,2.0,1.0,6.0,3250.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,3.88,2.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,6.0,2.0,4.0,-1.0,-1.0,4.0,1.0,27.0,1.0,49.0,4.0,60.0,1.0,59.0,0.000409116,0.9657658085816023,0.0,1.0,3.25,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.46,1.5333333333333332,0.135,0.45,1.1,0.388,5.4,1.0,0.0,2.0,2.0
