"ch.Xbox","ch.PlayStation","ch.PSPortable","ch.GameCube","ch.GameBoy","ch.PC","own.Xbox","own.PlayStation","own.PSPortable","own.GameCube","own.GameBoy","own.PC","age","hours"
2,1,3,5,6,4,0,1,0,0,0,1,33,2
4,2,3,5,6,1,0,1,0,0,0,1,19,3.25
3,1,2,4,6,5,0,1,0,0,0,1,18,4
3,5,6,1,4,2,1,0,0,1,1,1,18,6
1,2,3,4,6,5,0,0,0,0,0,1,18,2
3,2,5,4,6,1,0,1,0,0,0,1,20,15
3,2,4,6,5,1,0,1,0,0,1,1,18,7
2,3,4,1,5,6,0,0,0,0,0,0,18,0
2,3,1,5,6,4,0,0,0,0,0,0,18,0
2,1,4,5,6,3,0,0,0,0,0,1,18,8
2,1,4,5,6,3,0,1,1,0,0,1,18,8
3,2,4,6,5,1,0,0,0,0,0,1,17,3
3,4,5,2,1,6,0,0,0,0,0,1,22,0
3,2,4,6,5,1,0,0,0,0,1,1,18,4
1,2,3,5,6,4,1,0,1,0,0,1,18,4
3,2,1,5,6,4,1,1,1,0,0,0,18,5
5,1,3,6,4,2,0,0,0,0,0,1,22,0
5,3,2,1,4,6,0,0,0,0,0,1,19,0
3,2,4,5,6,1,0,0,0,0,0,1,19,0
2,4,5,3,6,1,0,0,0,0,0,1,19,0
2,5,4,6,3,1,0,0,0,0,0,1,17,0
3,4,5,6,2,1,0,0,0,0,0,1,18,3
1,2,3,6,4,5,1,0,0,0,0,1,18,1
2,1,3,6,5,4,0,1,1,0,0,1,19,1
1,4,3,6,5,2,1,0,0,0,0,1,19,2
1,2,6,4,5,3,0,0,0,0,0,0,22,0
1,2,3,5,6,4,0,1,0,0,0,1,18,2
3,2,5,4,6,1,0,1,0,0,0,1,20,15
1,4,5,3,6,2,0,0,0,0,0,1,18,2
1,3,2,5,6,4,0,0,0,0,0,1,18,10
4,2,3,6,5,1,0,0,1,0,0,1,18,1
3,5,4,1,2,6,0,0,0,0,0,0,18,0
4,5,6,3,2,1,1,1,0,0,1,1,19,1
3,2,4,6,5,1,0,1,0,0,1,1,18,0
4,6,1,2,3,5,0,0,1,0,0,0,19,0
4,5,2,3,6,1,0,1,1,0,0,1,20,2
6,2,1,4,5,3,0,1,0,0,0,1,18,10
3,2,6,5,4,1,1,0,0,0,0,1,18,7
1,2,4,6,5,3,0,0,0,0,0,1,18,2
2,1,4,5,6,3,0,0,0,0,0,1,21,2
2,1,4,3,5,6,0,0,0,0,0,0,19,0
4,5,1,2,3,6,0,0,0,0,0,1,18,0
2,1,6,4,5,3,0,0,0,0,0,1,21,0.25
5,6,4,3,1,2,0,1,0,0,1,1,19,7
1,3,4,6,5,2,0,1,0,0,0,1,19,5
3,6,4,1,2,5,0,1,0,0,1,1,19,1
2,3,4,6,5,1,0,0,0,0,0,1,21,1
1,4,3,5,6,2,0,0,0,0,0,1,23,4
5,1,3,2,4,6,0,1,0,0,1,1,22,1
3,6,4,2,5,1,0,0,1,0,0,1,24,7
4,5,2,1,3,6,0,0,0,0,0,1,19,0
2,3,5,6,4,1,0,0,0,0,0,1,21,0
1,2,5,6,4,3,0,0,0,0,0,1,20,7
2,3,4,6,5,1,1,1,0,0,1,1,20,5
3,5,2,6,4,1,0,0,0,0,0,1,22,15
2,1,5,6,4,3,0,1,0,0,1,1,21,5
3,2,4,6,5,1,0,0,0,0,0,1,18,0
2,3,4,6,5,1,0,0,0,0,0,1,20,2
2,4,3,6,5,1,0,0,0,0,0,1,24,0
2,4,3,6,5,1,0,0,0,0,0,1,25,0
3,4,1,5,2,6,0,1,1,1,1,1,21,1
5,4,6,2,3,1,0,0,0,0,0,1,22,0.5
1,6,3,4,5,2,0,0,0,0,0,1,21,1
2,3,6,4,5,1,0,0,0,1,0,1,19,8
3,2,4,5,6,1,0,0,0,0,0,1,20,15
1,4,3,2,5,6,0,0,0,0,0,1,20,0
5,6,2,1,3,4,0,0,0,0,0,1,20,0
3,1,4,6,5,2,0,1,0,0,0,1,20,5
1,2,4,6,5,3,0,0,0,0,0,1,21,1
2,3,4,5,6,1,0,0,0,0,0,1,22,0.5
1,3,6,2,4,5,1,0,0,1,0,0,22,8
3,1,6,5,4,2,0,1,0,1,0,1,19,1
1,2,5,3,4,6,0,0,0,0,0,1,20,0
3,1,5,4,6,2,0,0,0,0,0,1,22,15
2,1,4,3,5,6,0,0,0,0,0,1,22,0
2,1,4,5,6,3,0,1,0,0,0,0,25,4
2,3,5,4,6,1,0,0,0,0,0,1,21,1
2,3,6,4,5,1,1,1,0,0,0,1,25,28
2,1,3,6,5,4,0,0,0,0,0,1,19,1
5,2,3,6,4,1,0,1,0,0,0,1,22,15
6,3,5,2,4,1,1,1,0,1,1,1,21,10
5,6,2,3,4,1,0,0,0,0,0,1,19,1
4,3,1,6,5,2,0,0,0,1,0,0,27,2
4,5,6,2,3,1,0,1,0,1,0,1,23,2
3,2,5,4,6,1,0,0,0,0,0,1,25,10
2,3,5,4,6,1,0,0,0,0,0,1,20,8
1,3,5,6,2,4,1,0,0,0,0,1,20,10
3,2,4,6,5,1,0,0,0,0,0,1,20,10
5,2,6,4,3,1,0,0,0,0,0,1,22,0
5,3,2,4,6,1,0,0,0,0,0,0,23,0
4,1,3,5,6,2,0,1,0,0,0,1,21,3
