"age","hours","platform","ch","own","chid"
33,2,"GameBoy",6,0,1
33,2,"GameCube",5,0,1
33,2,"PC",4,1,1
33,2,"PlayStation",1,1,1
33,2,"PSPortable",3,0,1
33,2,"Xbox",2,0,1
19,3.25,"GameBoy",6,0,2
19,3.25,"GameCube",5,0,2
19,3.25,"PC",1,1,2
19,3.25,"PlayStation",2,1,2
19,3.25,"PSPortable",3,0,2
19,3.25,"Xbox",4,0,2
18,4,"GameBoy",6,0,3
18,4,"GameCube",4,0,3
18,4,"PC",5,1,3
18,4,"PlayStation",1,1,3
18,4,"PSPortable",2,0,3
18,4,"Xbox",3,0,3
18,6,"GameBoy",4,1,4
18,6,"GameCube",1,1,4
18,6,"PC",2,1,4
18,6,"PlayStation",5,0,4
18,6,"PSPortable",6,0,4
18,6,"Xbox",3,1,4
18,2,"GameBoy",6,0,5
18,2,"GameCube",4,0,5
18,2,"PC",5,1,5
18,2,"PlayStation",2,0,5
18,2,"PSPortable",3,0,5
18,2,"Xbox",1,0,5
20,15,"GameBoy",6,0,6
20,15,"GameCube",4,0,6
20,15,"PC",1,1,6
20,15,"PlayStation",2,1,6
20,15,"PSPortable",5,0,6
20,15,"Xbox",3,0,6
18,7,"GameBoy",5,1,7
18,7,"GameCube",6,0,7
18,7,"PC",1,1,7
18,7,"PlayStation",2,1,7
18,7,"PSPortable",4,0,7
18,7,"Xbox",3,0,7
18,0,"GameBoy",5,0,8
18,0,"GameCube",1,0,8
18,0,"PC",6,0,8
18,0,"PlayStation",3,0,8
18,0,"PSPortable",4,0,8
18,0,"Xbox",2,0,8
18,0,"GameBoy",6,0,9
18,0,"GameCube",5,0,9
18,0,"PC",4,0,9
18,0,"PlayStation",3,0,9
18,0,"PSPortable",1,0,9
18,0,"Xbox",2,0,9
18,8,"GameBoy",6,0,10
18,8,"GameCube",5,0,10
18,8,"PC",3,1,10
18,8,"PlayStation",1,0,10
18,8,"PSPortable",4,0,10
18,8,"Xbox",2,0,10
18,8,"GameBoy",6,0,11
18,8,"GameCube",5,0,11
18,8,"PC",3,1,11
18,8,"PlayStation",1,1,11
18,8,"PSPortable",4,1,11
18,8,"Xbox",2,0,11
17,3,"GameBoy",5,0,12
17,3,"GameCube",6,0,12
17,3,"PC",1,1,12
17,3,"PlayStation",2,0,12
17,3,"PSPortable",4,0,12
17,3,"Xbox",3,0,12
22,0,"GameBoy",1,0,13
22,0,"GameCube",2,0,13
22,0,"PC",6,1,13
22,0,"PlayStation",4,0,13
22,0,"PSPortable",5,0,13
22,0,"Xbox",3,0,13
18,4,"GameBoy",5,1,14
18,4,"GameCube",6,0,14
18,4,"PC",1,1,14
18,4,"PlayStation",2,0,14
18,4,"PSPortable",4,0,14
18,4,"Xbox",3,0,14
18,4,"GameBoy",6,0,15
18,4,"GameCube",5,0,15
18,4,"PC",4,1,15
18,4,"PlayStation",2,0,15
18,4,"PSPortable",3,1,15
18,4,"Xbox",1,1,15
18,5,"GameBoy",6,0,16
18,5,"GameCube",5,0,16
18,5,"PC",4,0,16
18,5,"PlayStation",2,1,16
18,5,"PSPortable",1,1,16
18,5,"Xbox",3,1,16
22,0,"GameBoy",4,0,17
22,0,"GameCube",6,0,17
22,0,"PC",2,1,17
22,0,"PlayStation",1,0,17
22,0,"PSPortable",3,0,17
22,0,"Xbox",5,0,17
19,0,"GameBoy",4,0,18
19,0,"GameCube",1,0,18
19,0,"PC",6,1,18
19,0,"PlayStation",3,0,18
19,0,"PSPortable",2,0,18
19,0,"Xbox",5,0,18
19,0,"GameBoy",6,0,19
19,0,"GameCube",5,0,19
19,0,"PC",1,1,19
19,0,"PlayStation",2,0,19
19,0,"PSPortable",4,0,19
19,0,"Xbox",3,0,19
19,0,"GameBoy",6,0,20
19,0,"GameCube",3,0,20
19,0,"PC",1,1,20
19,0,"PlayStation",4,0,20
19,0,"PSPortable",5,0,20
19,0,"Xbox",2,0,20
17,0,"GameBoy",3,0,21
17,0,"GameCube",6,0,21
17,0,"PC",1,1,21
17,0,"PlayStation",5,0,21
17,0,"PSPortable",4,0,21
17,0,"Xbox",2,0,21
18,3,"GameBoy",2,0,22
18,3,"GameCube",6,0,22
18,3,"PC",1,1,22
18,3,"PlayStation",4,0,22
18,3,"PSPortable",5,0,22
18,3,"Xbox",3,0,22
18,1,"GameBoy",4,0,23
18,1,"GameCube",6,0,23
18,1,"PC",5,1,23
18,1,"PlayStation",2,0,23
18,1,"PSPortable",3,0,23
18,1,"Xbox",1,1,23
19,1,"GameBoy",5,0,24
