"choiceid","id","choice","price_A","price_B","time_A","time_B","change_A","change_B","comfort_A","comfort_B"
1,1,"A",2400,4000,150,150,0,0,1,1
2,1,"A",2400,3200,150,130,0,0,1,1
3,1,"A",2400,4000,115,115,0,0,1,0
4,1,"B",4000,3200,130,150,0,0,1,0
5,1,"B",2400,3200,150,150,0,0,1,0
6,1,"B",4000,2400,115,130,0,0,0,0
7,1,"B",2400,3200,150,115,0,0,1,1
8,1,"B",2400,3200,115,150,0,0,1,0
9,1,"A",4000,3200,115,130,0,0,0,1
10,1,"A",2400,4000,150,115,0,0,1,0
11,2,"A",2975,3500,108,121,0,0,0,1
12,2,"A",2975,3500,93,93,0,0,1,0
13,2,"B",2450,2450,121,93,0,0,0,1
14,2,"B",2975,2450,93,108,0,0,1,1
15,2,"B",2975,2450,93,121,0,0,1,0
16,2,"B",2975,2450,108,121,0,0,0,0
17,2,"A",2975,3500,108,93,0,0,0,0
18,2,"B",2975,2450,108,108,0,0,0,1
19,2,"B",3500,2975,108,121,0,0,1,1
20,2,"A",2975,2975,93,108,0,0,1,0
21,2,"A",2450,2450,108,121,0,0,1,0
22,3,"A",1920,2400,106,106,0,0,0,1
23,3,"B",2400,1920,96,106,0,0,0,0
24,3,"A",1920,2400,96,96,0,0,1,0
25,3,"A",1440,1920,121,96,0,0,0,1
26,3,"A",1920,2400,121,106,0,0,1,1
27,3,"B",1920,1440,106,96,0,0,0,1
28,3,"A",1920,1920,106,96,0,0,0,1
29,3,"B",1920,1440,106,121,0,0,0,0
30,3,"A",1440,1440,96,121,0,0,1,0
31,3,"A",1440,1440,106,121,0,0,1,0
32,3,"A",2400,1920,96,121,0,0,0,1
33,4,"B",545,545,105,85,1,1,1,1
34,4,"A",780,780,105,95,0,1,1,1
35,4,"A",665,545,85,105,0,1,1,1
36,4,"A",780,545,85,105,1,1,0,1
37,4,"B",665,545,85,95,0,0,1,0
38,4,"A",545,665,85,105,1,1,1,0
39,4,"B",780,545,85,95,1,0,0,0
40,4,"B",665,780,95,105,1,0,1,1
41,4,"B",545,780,85,85,1,1,1,0
42,4,"B",780,665,95,105,1,1,1,0
43,4,"B",780,545,105,85,0,1,1,1
44,4,"A",780,665,105,105,0,1,1,0
45,4,"A",545,665,105,95,1,1,1,1
46,4,"A",665,545,105,105,1,1,0,1
47,4,"A",665,780,85,85,0,1,1,0
48,5,"B",2800,1400,122,92,1,1,0,0
49,5,"A",2800,2800,92,122,0,1,1,0
50,5,"A",2800,2100,107,122,1,1,1,1
51,5,"A",2100,2800,122,122,1,1,1,0
52,5,"B",1400,1400,122,92,0,1,1,0
53,5,"B",2800,1400,92,92,0,1,1,0
54,5,"A",2800,1400,92,122,0,0,1,1
55,5,"A",2800,1400,107,122,1,0,1,1
56,5,"B",1400,2800,107,92,1,0,1,1
57,5,"A",2100,1400,107,107,0,1,0,1
58,5,"A",1400,2100,92,107,1,0,0,0
59,5,"A",2100,1400,92,107,1,1,1,1
60,5,"A",2100,2800,92,92,1,0,1,1
61,5,"A",2100,2100,92,107,1,0,1,0
62,5,"A",2800,2100,92,107,0,0,1,0
63,6,"B",4680,3120,155,140,1,1,1,1
64,6,"A",3120,4680,125,155,2,1,1,1
65,6,"A",3900,4680,155,155,2,1,1,1
66,6,"B",3120,3900,155,155,1,2,2,1
67,6,"A",4680,3900,125,140,1,1,1,1
68,6,"B",3120,4680,155,140,1,2,2,2
69,6,"A",3120,3120,125,140,2,1,1,1
70,6,"A",4680,3120,125,140,1,1,1,1
71,6,"B",4680,3120,125,125,1,2,1,1
72,7,"A",2800,4000,125,140,0,0,1,1
73,7,"A",2800,3400,160,125,0,0,0,1
74,7,"B",3400,2800,140,160,0,0,0,0
75,7,"A",2800,3400,140,140,0,0,1,0
76,7,"B",4000,3400,125,140,0,0,0,0
77,7,"A",3400,4000,160,125,0,0,1,0
78,7,"A",2800,2800,160,125,0,0,0,1
79,7,"B",3400,3400,125,140,0,0,1,0
80,8,"A",3375,4500,115,115,0,0,0,1
81,8,"B",4500,2250,115,125,0,0,1,1
82,8,"A",2250,4500,125,105,0,0,1,1
83,8,"A",3375,2250,115,115,0,0,0,1
84,8,"A",4500,3375,125,105,0,0,0,1
85,8,"A",2250,4500,125,125,0,0,1,0
86,8,"A",3375,4500,125,115,0,0,1,1
87,8,"A",3375,4500,125,105,0,0,1,1
88,9,"B",5460,4200,215,195,1,1,2,1
89,9,"B",4200,5460,240,240,1,2,2,1
90,9,"A",5460,4830,195,195,1,2,1,2
91,9,"B",4200,5460,215,195,2,1,1,1
92,9,"B",4830,5460,195,215,2,1,2,2
93,9,"B",4830,5460,215,195,1,1,1,1
94,9,"A",4830,4200,215,215,1,2,1,1
95,9,"A",4200,5460,215,215,2,1,1,2
96,9,"B",5460,4830,240,195,2,2,1,2
97,9,"B",4830,4200,240,215,1,2,1,1
98,9,"A",5460,4830,215,240,1,1,2,1
99,9,"A",4830,4830,195,240,2,1,2,1
100,10,"B",7280,6240,112,92,0,0,2,1
101,10,"B",5200,6240,102,92,0,0,1,1
102,10,"A",5200,7280,102,92,0,1,1,1
103,10,"B",5200,7280,92,102,0,0,2,1
104,10,"A",5200,7280,112,112,1,0,1,2
105,10,"A",5200,5200,112,92,1,0,1,2
106,10,"B",6240,5200,112,112,0,1,1,1
107,10,"A",6240,7280,102,112,1,0,2,2
108,10,"B",6240,6240,102,112,1,0,2,1
109,10,"B",7280,7280,102,92,0,1,1,1
110,10,"A",6240,7280,112,102,0,0,1,1
111,10,"B",7280,6240,92,112,1,0,1,1
112,11,"B",3510,3105,157,122,2,1,1,1
113,11,"A",2700,2700,122,137,2,1,1,1
114,11,"B",3510,2700,122,137,1,1,2,1
115,11,"A",3510,2700,137,157,1,1,1,2
116,11,"A",3105,3510,137,157,2,2,2,1
117,11,"B",2700,3510,157,122,1,1,2,2
118,11,"A",3510,3105,122,157,1,1,2,1
119,12,"A",3000,3000,120,140,0,2,1,1
120,12,"B",1500,1500,105,140,2,0,1,0
121,12,"B",1500,1500,120,140,1,0,1,0
122,12,"B",2250,2250,105,120,0,2,1,0
123,12,"B",1500,2250,105,120,2,2,1,0
124,12,"A",3000,2250,105,140,1,1,0,1
125,12,"A",1500,2250,105,105,2,0,1,1
126,12,"B",3000,1500,120,120,0,1,1,1
127,12,"A",2250,3000,140,120,1,0,1,1
128,12,"A",1500,3000,140,105,0,1,0,0
129,12,"A",1500,3000,105,105,2,1,1,0
130,12,"B",1500,1500,105,120,2,1,1,1
131,12,"A",1500,2250,120,120,1,2,1,0
132,12,"A",2250,3000,105,105,0,1,1,0
133,13,"B",2000,2000,135,100,1,1,1,1
134,13,"B",4000,2000,135,135,1,1,0,1
135,13,"A",3000,4000,100,100,1,0,0,1
136,13,"A",2000,3000,135,135,1,0,1,1
137,13,"A",2000,4000,100,100,1,0,1,1
138,13,"B",4000,4000,135,115,1,1,0,1
139,13,"B",4000,3000,100,115,0,1,1,1
140,13,"B",2000,2000,100,115,1,0,1,0
141,13,"A",2000,4000,135,115,1,1,1,1
142,13,"A",2000,3000,115,100,0,1,0,0
143,13,"A",3000,4000,135,100,0,0,1,1
144,13,"A",2000,3000,135,100,1,1,1,0
145,13,"B",3000,3000,135,100,0,1,1,0
146,13,"B",3000,3000,135,115,0,1,1,1
147,14,"B",1875,1875,145,130,2,1,1,0
148,14,"A",1875,1875,115,130,0,1,1,0
149,14,"A",1250,1875,145,130,1,1,1,0
150,14,"A",2500,1875,115,145,1,2,1,1
151,14,"A",1250,2500,130,145,0,0,1,0
152,14,"B",2500,1250,115,130,1,0,1,1
153,14,"B",2500,1250,145,145,0,1,0,1
154,14,"B",1250,1875,115,130,2,1,0,0
155,14,"A",1875,1250,115,145,0,1,1,1
156,14,"B",1875,2500,145,145,2,0,1,0
157,14,"B",2500,1250,145,115,0,2,0,0
158,14,"A",1250,2500,115,115,2,1,0,1
159,14,"B",2500,2500,145,130,0,2,0,1
160,14,"B",1875,1250,115,130,0,0,1,1
161,15,"B",3500,1750,105,95,0,0,1,1
162,15,"B",3500,2625,95,105,0,0,0,0
163,15,"A",2625,3500,95,95,0,0,1,0
164,15,"A",1750,2625,120,95,0,0,0,1
165,15,"B",1750,1750,120,95,0,0,0,1
166,15,"B",2625,2625,95,105,0,0,1,0
167,15,"A",1750,2625,120,105,0,0,0,0
168,15,"B",1750,1750,120,105,0,0,0,1
169,15,"A",2625,3500,120,105,0,0,1,1
170,15,"A",3500,2625,95,120,0,0,0,1
171,16,"B",6300,5250,165,150,1,1,1,1
